№,Код_поставщика,Наименование_поставщика,Код_потребителя,Наименование_потребителя,Тип_связи,Сила_связи,Примечание
955,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.32,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство кирпича, черепицы и прочих строительн"
956,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.4,Производство прочих фарфоровых и керамических изделий,Камень/песок для стройматериалов,3,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство прочих фарфоровых и керамических изде"
957,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.41,Производство хозяйственных и декоративных керамических изделий,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство хозяйственных и декоративных керамиче"
958,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.42,Производство керамических санитарно-технических изделий,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство керамических санитарно-технических из"
959,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.43,Производство керамических изоляторов и изолирующей арматуры,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство керамических изоляторов и изолирующей"
960,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.44,Производство прочих технических керамических изделий,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство прочих технических керамических издел"
961,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.49,Производство прочих керамических изделий,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство прочих керамических изделий"
962,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.5,"Производство цемента, извести и гипса",Камень/песок для стройматериалов,3,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство цемента, извести и гипса"
963,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.51,Производство цемента,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство цемента"
964,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.52,Производство извести и гипса,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство извести и гипса"
965,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.6,"Производство изделий из бетона, цемента и гипса",Камень/песок для стройматериалов,3,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство изделий из бетона, цемента и гипса"
966,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.61,Производство изделий из бетона для использования в строительстве,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство изделий из бетона для использования в"
967,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.62,Производство гипсовых изделий для использования в строительстве,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство гипсовых изделий для использования в "
968,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.63,Производство товарного бетона,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство товарного бетона"
969,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.64,Производство сухих бетонных смесей,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство сухих бетонных смесей"
970,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.65,Производство изделий из асбестоцемента и волокнистого цемента,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство изделий из асбестоцемента и волокнист"
971,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.69,"Производство прочих изделий из гипса, бетона или цемента",Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство прочих изделий из гипса, бетона или ц"
972,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.7,"Резка, обработка и отделка камня",Камень/песок для стройматериалов,3,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Резка, обработка и отделка камня"
973,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.70,"Резка, обработка и отделка камня",Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Резка, обработка и отделка камня"
974,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.9,"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",Камень/песок для стройматериалов,3,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство абразивных и неметаллических минераль"
975,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.91,Производство абразивных изделий,Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство абразивных изделий"
976,08.12,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",23.99,"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",Камень/песок для стройматериалов,5,"Добытый камень, песок и глина используются для производства строительных материалов (цемент, бетон, кирпич). Поставщик: Разработка гравийных и песчаных карьеров, добыча г. Потребитель: Производство прочей неметаллической минеральной пр"
977,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.1,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",Сырьё для химии,3,"Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство основных химических веществ, удобрени"
978,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.11,Производство промышленных газов,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство промышленных газов
979,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.12,Производство красителей и пигментов,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство красителей и пигментов
980,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.13,Производство прочих основных неорганических химических веществ,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство прочих основных неорганических химиче
981,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.14,Производство прочих основных органических химических веществ,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство прочих основных органических химическ
982,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.15,Производство удобрений и азотных соединений,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство удобрений и азотных соединений
983,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.16,Производство пластмасс и синтетических смол в первичных формах,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство пластмасс и синтетических смол в перв
984,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.17,Производство синтетического каучука в первичных формах,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство синтетического каучука в первичных фо
985,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.2,Производство пестицидов и прочих агрохимических продуктов,Сырьё для химии,3,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство пестицидов и прочих агрохимических пр
986,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.20,Производство пестицидов и прочих агрохимических продуктов,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство пестицидов и прочих агрохимических пр
987,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.3,"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",Сырьё для химии,3,"Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство красок, лаков и аналогичных материало"
988,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.30,"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",Сырьё для химии,5,"Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство красок, лаков и аналогичных материало"
989,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.4,"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",Сырьё для химии,3,"Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство мыла и моющих, чистящих и полирующих "
990,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.41,"Производство мыла и моющих, чистящих и полирующих средств",Сырьё для химии,5,"Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство мыла и моющих, чистящих и полирующих "
991,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.42,Производство парфюмерных и косметических средств,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство парфюмерных и косметических средств
992,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.5,Производство прочих химических продуктов,Сырьё для химии,3,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство прочих химических продуктов
993,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.51,Производство взрывчатых веществ,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство взрывчатых веществ
994,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.52,Производство клеев,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство клеев
995,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.53,Производство эфирных масел,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство эфирных масел
996,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.59,"Производство прочих химических продуктов, не включенных в другие группировки",Сырьё для химии,5,"Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство прочих химических продуктов, не включ"
997,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.6,Производство химических волокон,Сырьё для химии,3,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство химических волокон
998,08.91,Добыча минерального сырья для химической промышленности и производства минеральных удобрений,20.60,Производство химических волокон,Сырьё для химии,5,Добытое минеральное химическое сырьё поставляется на химические предприятия. Поставщик: Добыча минерального сырья для химической промышлен. Потребитель: Производство химических волокон
999,08.92,Добыча и агломерация торфа,09.90,Предоставление услуг в других областях добычи полезных ископаемых,Ссылка в классификаторе,2,"Деятельность '08.92' не включает операции, относящиеся к '09.90': предоставление услуг, сопутствующих торфоразработкам"
1000,08.92,Добыча и агломерация торфа,20.15,Производство удобрений и азотных соединений,Ссылка в классификаторе,3,"Деятельность '08.92' не включает операции, относящиеся к '20.15': производствоторфяных брикетов смешанных с природным грунтом, песком, глиной, минеральными удобрениям"
1001,08.92,Добыча и агломерация торфа,23.99,"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",Ссылка в классификаторе,3,"Деятельность '08.92' не включает операции, относящиеся к '23.99': производство изделий из торфа"
1002,08.93,Добыча соли,10.84,Производство приправ и пряностей,Ссылка в классификаторе,3,"Деятельность '08.93' не включает операции, относящиеся к '10.84': переработку соли в пищевую, например в йодированную соль"
1003,08.93,Добыча соли,36.00,"Забор, очистка и распределение воды",Ссылка в классификаторе,3,"Деятельность '08.93' не включает операции, относящиеся к '36.00': производство питьевой воды путем опреснения соленой воды"
1004,09.90,Предоставление услуг в других областях добычи полезных ископаемых,33.12,Ремонт машин и оборудования,Ссылка в классификаторе,2,"Деятельность '09.90' не включает операции, относящиеся к '33.12': специализированный ремонт оборудования для горнодобывающей промышленности"
1005,09.90,Предоставление услуг в других областях добычи полезных ископаемых,71.12,"Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях",Ссылка в классификаторе,2,"Деятельность '09.90' не включает операции, относящиеся к '71.12': предоставление услуг по геофизическому исследованию за вознаграждение или на договорной основе"
1006,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.3,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями",Пищевые продукты в опт,2,"Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая пищевыми продуктами, напитками и "
1007,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.31,Торговля оптовая фруктами и овощами,Пищевые продукты в опт,2,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая фруктами и овощами
1008,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.32,Торговля оптовая мясом и мясными продуктами,Пищевые продукты в опт,2,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая мясом и мясными продуктами
1009,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.33,"Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами",Пищевые продукты в опт,2,"Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая молочными продуктами, яйцами и пи"
1010,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.34,Торговля оптовая напитками,Пищевые продукты в опт,2,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая напитками
1011,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.35,Торговля оптовая табачными изделиями,Пищевые продукты в опт,2,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая табачными изделиями
1012,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.36,"Торговля оптовая сахаром, шоколадом и сахаристыми кондитерскими изделиями",Пищевые продукты в опт,2,"Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая сахаром, шоколадом и сахаристыми "
1013,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.37,"Торговля оптовая кофе, чаем, какао и пряностями",Пищевые продукты в опт,2,"Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая кофе, чаем, какао и пряностями"
1014,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.38,"Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков",Пищевые продукты в опт,2,"Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая прочими пищевыми продуктами, вклю"
1015,10.1,Переработка и консервирование мяса и мясной пищевой продукции,46.39,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",Пищевые продукты в опт,2,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса и мясной пищево. Потребитель: Торговля оптовая неспециализированная пищевыми про
1016,10.11,Переработка и консервирование мяса,10.12,Производство и консервирование мяса птицы,Ссылка в классификаторе,3,"Деятельность '10.11' не включает операции, относящиеся к '10.12': вытапливание жира сельскохозяйственной птицы"
1017,10.11,Переработка и консервирование мяса,46.3,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями",Пищевые продукты в опт,2,"Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса. Потребитель: Торговля оптовая пищевыми продуктами, напитками и "
1018,10.11,Переработка и консервирование мяса,46.31,Торговля оптовая фруктами и овощами,Пищевые продукты в опт,4,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса. Потребитель: Торговля оптовая фруктами и овощами
1019,10.11,Переработка и консервирование мяса,46.32,Торговля оптовая мясом и мясными продуктами,Пищевые продукты в опт,4,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса. Потребитель: Торговля оптовая мясом и мясными продуктами
1020,10.11,Переработка и консервирование мяса,46.33,"Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами",Пищевые продукты в опт,4,"Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса. Потребитель: Торговля оптовая молочными продуктами, яйцами и пи"
1021,10.11,Переработка и консервирование мяса,46.34,Торговля оптовая напитками,Пищевые продукты в опт,4,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса. Потребитель: Торговля оптовая напитками
1022,10.11,Переработка и консервирование мяса,46.35,Торговля оптовая табачными изделиями,Пищевые продукты в опт,4,Произведённые пищевые продукты поставляются оптовым торговым компаниям для дистрибуции. Поставщик: Переработка и консервирование мяса. Потребитель: Торговля оптовая табачными изделиями
